name,audience_size,topic,path,emoji_code,emoji_extra
Dresses,321285157,Shopping and fashion,Shopping and fashion|Fashion accessories|Dresses,1f457,
Fashion accessories,577243110,Shopping and fashion,Shopping and fashion|Fashion accessories,1f452,
Fashion design,133899550,Shopping and fashion,Business and industry|Design|Fashion design,1f483-1f3ff,
Fragrances,300878675,Shopping and fashion,Shopping and fashion|Beauty|Fragrances,1f4a8,
Furniture,210512950,Shopping and fashion,Hobbies and activities|Home and garden|Furniture,1f6cb,
Geeks,57121630,Shopping and fashion,,1f913,
Hair products,351835820,Shopping and fashion,Shopping and fashion|Beauty|Hair products,1f486-1f3fe,
Handbags,253711511,Shopping and fashion,Shopping and fashion|Fashion accessories|Handbags,1f45c,
IKEA,47158030,Shopping and fashion,Shopping and fashion|Brand,1f6cb,
Jewellery,435847840,Shopping and fashion,Shopping and fashion|Fashion accessories|Jewellery,1f48d,
Lingerie,97307460,Shopping and fashion,Shopping and fashion|Clothing,1f459,
Luxury goods,332696067,Shopping and fashion,Shopping and fashion|Shopping|Luxury goods,1f48e,
Online shopping,767873570,Shopping and fashion,Shopping and fashion|Shopping|Online shopping,1f4e6,
Shoes,458806450,Shopping and fashion,Shopping and fashion|Clothing|Shoes,1f45f,
Shopping,990441390,Shopping and fashion,Shopping and fashion|Shopping,1f6cd,
Shopping and fashion,1193713720,Shopping and fashion,Shopping and fashion,1f6cd,1f457
Shopping centres,283583790,Shopping and fashion,Shopping and fashion|Shopping|Shopping centres,1f3e3,
Sunglasses,202482950,Shopping and fashion,Shopping and fashion|Fashion accessories|Sunglasses,1f576,
Tattoos,322833813,Shopping and fashion,Shopping and fashion|Beauty|Tattoos,1f531,
Toys,188545920,Shopping and fashion,Shopping and fashion|Toys,1f3a0,
Victoria's Secret,38721680,Shopping and fashion,Shopping and fashion|Brand,1f910,
Watches,312406510,Shopping and fashion,Shopping and fashion|Clothing,231a,
Wedding dresses,87552910,Shopping and fashion,Shopping and fashion|Clothing,1f470,
American football,221021320,Sports and outdoors,Sports and outdoors|Sports|American football,1f3c8,
Archery,18653820,Sports and outdoors,Sports and outdoors|Sports,1f3af,
Baseball,247341790,Sports and outdoors,Sports and outdoors|Sports|Baseball,26be,
Basketball,383681470,Sports and outdoors,Sports and outdoors|Sports|Basketball,1f3c0,
Boating,44375846,Sports and outdoors,Sports and outdoors|Outdoor recreation|Boating,1f6a3-1f3fc,
Bowling,22886540,Sports and outdoors,Sports and outdoors|Sports,1f3b3,
Camping,68707630,Sports and outdoors,Sports and outdoors|Outdoor recreation|Camping,26fa,
Car racing,202582090,Sports and outdoors,Sports and outdoors|Sports|Car racing,1f3ce,
College football,104402860,Sports and outdoors,Sports and outdoors|Sports|College football,1f3c8,
Cricket,143935850,Sports and outdoors,Sports and outdoors|Sports,1f3cf,
Fishing,85705650,Sports and outdoors,Sports and outdoors|Outdoor recreation|Fishing,1f3a3,
Football,769984930,Sports and outdoors,Sports and outdoors|Sports|Football,26bd,
Formula One,70714160,Sports and outdoors,Sports and outdoors|Sports,1f3ce,
Golf,114528287,Sports and outdoors,Sports and outdoors|Sports|Golf,26f3,
Hiking,56569450,Sports and outdoors,Sports and outdoors|Outdoor recreation|Hiking,1f332,
Hunting,106064640,Sports and outdoors,Sports and outdoors|Outdoor recreation|Hunting,1f3f9,
Mountain biking,69215081,Sports and outdoors,Sports and outdoors|Outdoor recreation|Mountain biking,1f6b5-1f3fc,
Outdoor recreation,368430120,Sports and outdoors,Sports and outdoors|Outdoor recreation,1f304,
Rugby union,113812510,Sports and outdoors,Sports and outdoors|Sports,1f3c9,
Skiing,140397730,Sports and outdoors,Sports and outdoors|Sports|Skiing,26f7,
Snooker,6140340,Sports and outdoors,Sports and outdoors|Sports,1f3b1,
Snowboarding,135363996,Sports and outdoors,Sports and outdoors|Sports|Snowboarding,1f3c2,
Sports,1139145910,Sports and outdoors,Sports and outdoors|Sports,1f3d1,
Surfing,93887660,Sports and outdoors,Sports and outdoors|Outdoor recreation|Surfing,1f3c4-1f3fd,
Swimming,123583995,Sports and outdoors,Sports and outdoors|Sports|Swimming,1f3ca-1f3fc,
Table tennis,94959640,Sports and outdoors,Sports and outdoors|Sports,1f3d3,
Tennis,188538460,Sports and outdoors,Sports and outdoors|Sports|Tennis,1f3be,
Triathlons,73734796,Sports and outdoors,Sports and outdoors|Sports|Triathlons,1f3ca-1f3fc,
Volleyball,165058470,Sports and outdoors,Sports and outdoors|Sports|Volleyball,1f3d0,
Adobe Photoshop,57016890,Technology,Software,1f58c,
Atari,1201410,Technology,Company,1f579,
AutoCAD,6865620,Technology,Software,1f4d0,
Cameras,220395770,Technology,Technology|Consumer electronics|Cameras,1f4f7,
Computer processors,74391870,Technology,Technology|Computers|Computer processors,1f5a5,
Computer servers,119766200,Technology,Technology|Computers|Computer servers,1f5a5,1f5a5
Computers,1056166060,Technology,Technology|Computers,1f4bb,
Consumer electronics,1214006340,Technology,Technology|Consumer electronics,1f4fb,
Desktop computers,66073790,Technology,Technology|Computers|Desktop computers,1f4bb,1f5a5
Game consoles,358663450,Technology,Technology|Consumer electronics|Game consoles,1f3ae,
Hard drives,24978420,Technology,Technology|Computers|Hard drives,1f5c3,
Mobile phones,1087369660,Technology,Technology|Consumer electronics|Mobile phones,1f4f1,
Network storage,19893360,Technology,Technology|Computers|Network storage,1f4e1,
Smartphones,441232960,Technology,Technology|Consumer electronics|Smartphones,1f4f1,
Social media,174536190,Technology,Business and industry|Online|Social media,1f44d-1f3fb,
Tablet computers,200537270,Technology,Technology|Computers|Tablet computers,1f4f1,
Technology,1318222270,Technology,Technology,1f4a1,
Vehicles,530156110,Technology,Hobbies and activities|Vehicles,1f698,1f696
VHS,4508720,Technology,Technology|Consumer electronics,1f4fc,
Beaches,187961860,"Travel, places and events",Hobbies and activities|Travel|Beaches,1f3d6,
Castles,51545840,"Travel, places and events",,1f3f0,
Golden Gate Bridge,833930,"Travel, places and events",Bridge,1f309,
Hong Kong,75970640,"Travel, places and events",City,1f1ed-1f1f0,
Las Vegas,56866060,"Travel, places and events",City,1f3b0,
Marathons,78479167,"Travel, places and events",Sports and outdoors|Sports|Marathons,1f3c3-1f3ff,
Mountains,199727420,"Travel, places and events",Hobbies and activities|Travel|Mountains,1f3d4,
Music festivals,132347880,"Travel, places and events",Entertainment|Live events|Music festivals,1f3b6,
New Year's Eve,124513860,"Travel, places and events",Event,1f37e,
Statue of Liberty,2443790,"Travel, places and events",Statue,1f5fd,
Theme parks,134514548,"Travel, places and events",Hobbies and activities|Travel|Theme parks,1f3a2,
Time,693278170,"Travel, places and events",Science|Nature,23f3,
Tourism,341763640,"Travel, places and events",Hobbies and activities|Travel|Tourism,1f68b,
Tower Bridge,619080,"Travel, places and events",Bridge,1f309,
Traffic,20178120,"Travel, places and events",Hobbies and activities|Travel,1f6a6,
Travel,900896720,"Travel, places and events",Hobbies and activities|Travel,1f6eb,
Vampires,30376480,"Travel, places and events",Fantasy|Animal,1f489,
